spatial_cell,date,daily_poi,daily_violations
cell_12.803_77.704,2024-02-29,0.7537718023763802,1
cell_12.805_77.7,2023-11-30,1.4759065198095778,2
cell_12.806_77.698,2024-02-20,0.9886113934537812,2
cell_12.806_77.699,2023-11-30,1.7871144088566089,4
cell_12.806_77.699,2023-12-16,1.2119622420107565,8
cell_12.806_77.7,2023-11-30,1.6522579096170285,2
cell_12.806_77.7,2023-12-16,1.564082214713303,2
cell_12.807_77.697,2023-12-24,0.7149405994881887,10
cell_12.807_77.698,2023-12-19,1.1786549963416462,1
cell_12.807_77.698,2024-03-05,1.2296264847046454,6
cell_12.807_77.699,2023-12-17,1.1786549963416462,1
cell_12.807_77.699,2023-12-19,1.683378445840932,2
cell_12.808_77.697,2024-02-17,0.7537718023763802,1
cell_12.808_77.698,2024-02-17,1.0560526742493137,1
cell_12.811_77.694,2023-11-29,1.1786549963416462,4
cell_12.811_77.695,2023-11-29,0.7537718023763802,1
cell_12.812_77.694,2023-11-29,1.2322589566316795,2
cell_12.814_77.692,2024-01-31,1.1786549963416462,1
cell_12.817_77.69,2023-12-21,0.5596157879354227,1
cell_12.818_77.689,2023-11-29,0.8711915979150807,2
cell_12.818_77.689,2023-12-01,0.9524448572007501,13
cell_12.818_77.689,2023-12-02,1.1786549963416462,1
cell_12.818_77.689,2023-12-10,1.261651915912614,2
cell_12.818_77.689,2023-12-29,1.1786549963416462,1
cell_12.818_77.689,2024-01-02,0.3184537311185346,1
cell_12.818_77.689,2024-01-09,1.0289274976404794,7
cell_12.818_77.689,2024-01-12,0.816804584606076,38
cell_12.818_77.689,2024-01-23,0.9367267285093035,2
cell_12.818_77.689,2024-01-24,0.6435617243761008,12
cell_12.818_77.689,2024-01-31,0.9486095822287636,3
cell_12.818_77.689,2024-02-26,0.7537718023763802,1
cell_12.818_77.689,2024-03-23,0.7537718023763802,1
cell_12.818_77.69,2023-12-10,1.1251316546831975,4
cell_12.818_77.69,2023-12-29,1.1786549963416462,1
cell_12.818_77.69,2024-01-09,1.333070117211602,3
cell_12.818_77.69,2024-01-24,0.5596157879354227,5
cell_12.818_77.69,2024-02-02,1.3862943611198906,5
cell_12.818_77.69,2024-04-08,0.8568449078843664,6
cell_12.819_77.688,2023-11-10,0.44628710262841953,1
cell_12.819_77.688,2023-12-09,0.661398482245365,1
cell_12.819_77.688,2023-12-18,0.44628710262841953,1
cell_12.819_77.688,2024-01-01,0.3184537311185346,1
cell_12.819_77.688,2024-01-02,0.9886113934537812,1
cell_12.819_77.688,2024-01-11,0.44628710262841953,1
cell_12.819_77.688,2024-01-15,0.6118015411059929,2
cell_12.819_77.688,2024-01-23,0.6118015411059929,2
cell_12.819_77.688,2024-01-25,0.44628710262841953,1
cell_12.819_77.688,2024-01-30,0.44628710262841953,1
cell_12.819_77.689,2023-11-13,0.7295567661528604,3
cell_12.819_77.689,2023-11-24,0.44628710262841953,1
cell_12.819_77.689,2023-11-25,0.44628710262841953,2
cell_12.819_77.689,2023-11-29,0.3184537311185346,1
cell_12.819_77.689,2023-12-01,1.252967877208629,4
cell_12.819_77.689,2023-12-05,0.44628710262841953,2
cell_12.819_77.689,2023-12-07,0.7537718023763802,1
cell_12.819_77.689,2023-12-10,0.9347546397804753,5
cell_12.819_77.689,2023-12-13,1.55814461804655,1
cell_12.819_77.689,2023-12-17,1.890850371872286,2
cell_12.819_77.689,2023-12-22,1.6557552105278814,13
cell_12.819_77.689,2023-12-26,0.7537718023763802,1
cell_12.819_77.689,2023-12-29,1.0370272650198908,3
cell_12.819_77.689,2024-01-02,1.046028472154955,2
cell_12.819_77.689,2024-01-03,1.329798461372578,3
cell_12.819_77.689,2024-01-04,0.44628710262841953,1
cell_12.819_77.689,2024-01-05,0.7537718023763802,1
cell_12.819_77.689,2024-01-09,1.1148391610929789,2
cell_12.819_77.689,2024-01-12,0.6118015411059929,3
cell_12.819_77.689,2024-01-13,1.33828514193353,1
cell_12.819_77.689,2024-02-12,0.9162907318741551,1
cell_12.819_77.689,2024-03-28,0.9886113934537812,2
cell_12.819_77.689,2024-04-08,0.7537718023763802,2
cell_12.819_77.69,2023-12-10,0.44628710262841953,1
cell_12.821_77.687,2023-11-27,0.44628710262841953,1
cell_12.821_77.687,2023-12-01,1.545521226679158,4
cell_12.821_77.687,2024-02-02,1.3862943611198906,4
cell_12.821_77.687,2024-02-11,0.9103315297613142,3
cell_12.821_77.687,2024-02-12,0.7537718023763802,1
cell_12.821_77.687,2024-02-15,0.7537718023763802,1
cell_12.821_77.688,2023-12-02,1.1786549963416462,1
cell_12.821_77.688,2024-02-02,0.9162907318741551,1
cell_12.821_77.688,2024-02-12,0.7537718023763802,1
cell_12.822_77.686,2023-12-22,1.1786549963416462,2
cell_12.822_77.687,2023-12-19,1.1786549963416462,1
cell_12.823_77.685,2024-01-05,1.4569549127648211,2
cell_12.823_77.685,2024-02-25,0.8350312671252677,2
cell_12.823_77.686,2023-12-22,1.807041348511625,7
cell_12.823_77.686,2024-01-05,1.4310424042292793,3
cell_12.823_77.686,2024-02-25,1.1786549963416462,3
cell_12.823_77.686,2024-03-28,0.9886113934537812,2
cell_12.824_77.684,2023-12-22,0.9162907318741551,1
cell_12.824_77.685,2023-12-22,1.890850371872286,2
cell_12.825_77.683,2024-03-27,1.1786549963416462,3
cell_12.825_77.684,2023-12-20,1.890850371872286,2
cell_12.826_77.682,2023-12-06,1.1786549963416462,1
cell_12.826_77.682,2024-02-21,0.9886113934537812,2
cell_12.826_77.682,2024-03-27,0.9162907318741551,1
cell_12.826_77.683,2023-12-07,1.534752684106966,2
cell_12.827_77.682,2023-12-06,1.6534519133620726,3
cell_12.827_77.682,2023-12-07,1.534752684106966,2
cell_12.827_77.682,2024-03-27,1.1786549963416462,2
cell_12.828_77.682,2023-12-06,0.9162907318741551,1
cell_12.828_77.682,2023-12-18,1.534752684106966,2
cell_12.828_77.682,2023-12-21,1.0836331948977138,2
cell_12.828_77.682,2023-12-29,0.7537718023763802,1
cell_12.828_77.682,2024-01-07,0.44628710262841953,1
cell_12.828_77.683,2024-01-06,0.7537718023763802,1
cell_12.828_77.683,2024-01-12,0.44628710262841953,1
cell_12.829_77.682,2023-12-06,1.2372176749603525,2
cell_12.82_77.687,2024-02-02,1.1786549963416462,2
cell_12.82_77.688,2023-11-14,0.3184537311185346,1
cell_12.82_77.688,2023-11-26,0.44628710262841953,1
cell_12.82_77.688,2023-12-07,0.7700236953261577,10
cell_12.82_77.688,2023-12-22,1.4759065198095778,2
cell_12.82_77.688,2023-12-29,1.1786549963416462,1
cell_12.82_77.688,2024-01-02,1.1786549963416462,1
cell_12.82_77.688,2024-01-29,0.9886113934537812,1
cell_12.82_77.688,2024-02-02,1.3862943611198906,16
cell_12.82_77.688,2024-02-11,1.199169890120308,5
cell_12.82_77.688,2024-02-12,1.1786549963416462,1
cell_12.82_77.688,2024-02-14,0.7537718023763802,1
cell_12.82_77.688,2024-02-15,0.7537718023763802,1
cell_12.82_77.689,2023-12-02,1.3862943611198906,1
cell_12.831_77.681,2023-12-06,0.9162907318741551,1
cell_12.831_77.681,2023-12-20,0.9162907318741551,1
cell_12.831_77.681,2023-12-22,0.9162907318741551,1
cell_12.832_77.68,2023-12-25,0.44628710262841953,1
cell_12.833_77.68,2023-12-25,0.9162907318741551,1
cell_12.833_77.681,2023-12-25,0.7537718023763802,1
cell_12.835_77.679,2023-11-12,0.9886113934537812,1
cell_12.835_77.679,2023-11-21,0.44628710262841953,1
cell_12.835_77.679,2023-12-07,1.6410573460147184,5
cell_12.835_77.679,2024-01-03,0.7537718023763802,1
cell_12.835_77.679,2024-01-05,0.7537718023763802,1
cell_12.835_77.679,2024-01-13,0.44628710262841953,1
cell_12.835_77.679,2024-01-19,1.33828514193353,1
cell_12.835_77.679,2024-02-11,0.44628710262841953,1
cell_12.835_77.679,2024-02-16,0.7537718023763802,1
cell_12.835_77.679,2024-02-23,0.9886113934537812,2
cell_12.835_77.679,2024-02-24,0.7537718023763802,1
cell_12.835_77.679,2024-03-21,0.7537718023763802,1
cell_12.835_77.68,2023-11-16,0.44628710262841953,1
cell_12.835_77.68,2024-02-11,0.7537718023763802,1
cell_12.835_77.681,2024-03-16,0.7537718023763802,1
cell_12.836_77.679,2023-11-14,0.44628710262841953,1
cell_12.836_77.679,2023-11-16,0.44628710262841953,1
cell_12.836_77.679,2023-11-20,0.44628710262841953,1
cell_12.836_77.679,2023-12-01,0.7537718023763802,1
cell_12.836_77.679,2023-12-02,0.44628710262841953,1
cell_12.836_77.679,2023-12-06,0.8711915979150807,2
cell_12.836_77.679,2023-12-07,1.6251346594587917,4
cell_12.836_77.679,2023-12-11,0.9886113934537812,1
cell_12.836_77.679,2023-12-16,0.9886113934537812,1
cell_12.836_77.679,2023-12-20,0.7537718023763802,1
cell_12.836_77.679,2023-12-22,0.7537718023763802,1
cell_12.836_77.679,2023-12-26,0.7537718023763802,1
cell_12.836_77.679,2024-01-03,0.44628710262841953,1
cell_12.836_77.679,2024-01-06,1.1251316546831975,2
cell_12.836_77.679,2024-01-11,0.7537718023763802,1
cell_12.836_77.679,2024-01-14,0.7537718023763802,1
cell_12.836_77.679,2024-01-15,0.44628710262841953,1
cell_12.836_77.679,2024-01-26,0.44628710262841953,5
cell_12.836_77.679,2024-02-16,0.7537718023763802,1
cell_12.836_77.679,2024-03-26,0.7537718023763802,1
cell_12.836_77.679,2024-03-29,0.7537718023763802,1
cell_12.836_77.68,2024-03-11,0.7537718023763802,1
cell_12.837_77.663,2024-03-11,0.9886113934537812,1
cell_12.837_77.678,2024-01-26,0.3184537311185346,1
cell_12.838_77.677,2024-01-26,0.3184537311185346,1
cell_12.838_77.677,2024-01-29,0.4462871026284196,3
cell_12.839_77.651,2024-01-14,0.7537718023763802,1
